14:19:28  [main] 	Initializing Control Panel
14:19:28  [main] 	Windows Version:  Enterprise  64-bit
14:19:28  [main] 	XAMPP Version: ???
14:19:28  [main] 	Controls Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
14:19:28  [main] 	You are not running with administrator rights! This will work for
14:19:28  [main] 	most application stuff but whenever you do something with services
14:19:28  [main] 	there will be a security dialogue or things will break! So think 
14:19:28  [main] 	about running this application with administrator rights!
14:19:28  [main] 	XAMPP Installation Directory: "e:\server\"
14:19:28  [main] 	Checking for prerequisites
14:19:29  [main] 	All prerequisites found
14:19:29  [main] 	Initializing Modules
14:19:29  [Apache] 	Problem detected: Apache Not Found!
14:19:29  [Apache] 	Disabling Apache buttons
14:19:29  [Apache] 	Run this program from your XAMPP root directory!
14:19:29  [mysql] 	Problem detected: MySQL Not Found!
14:19:29  [mysql] 	Disabling MySQL buttons
14:19:29  [mysql] 	Run this program from your XAMPP root directory!
14:19:29  [filezilla] 	Problem detected: FileZilla Not Found!
14:19:29  [filezilla] 	Disabling FileZilla buttons
14:19:29  [filezilla] 	Run this program from your XAMPP root directory!
14:19:29  [mercury] 	Problem detected: Mercury Not Found!
14:19:29  [mercury] 	Disabling Mercury buttons
14:19:29  [mercury] 	Run this program from your XAMPP root directory!
14:19:29  [Tomcat] 	Problem detected: Tomcat Not Found!
14:19:29  [Tomcat] 	Disabling Tomcat buttons
14:19:29  [Tomcat] 	Run this program from your XAMPP root directory!
14:19:29  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
14:19:29  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
14:19:29  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
14:19:29  [main] 	Starting Check-Timer
14:19:29  [main] 	Control Panel Ready
20:41:09  [main] 	Deinitializing Modules
20:41:09  [main] 	Deinitializing Control Panel

